camp,site,taxon,count
BC,BC3_SS2,Copris lugubris,0
BC,BC3_SS2,Copris nubilosus,8
BC,BC3_SS2,Copris sp.nov.,0
BC,BC3_SS2,Dichotomius annae,0
BC,BC3_SS2,Dichotomius satanas,0
BC,BC3_SS2,Eurysternus foedus,0
BC,BC3_SS2,Eurysternus magnus,1
BC,BC3_SS2,Eurysternus mexicanus,0
BC,BC3_SS2,Eurysternus obliteratus,0
BC,BC3_SS2,Onthophagus aff. anthracinus,0
BC,BC3_SS2,Onthophagus aff. belhorinus,0
BC,BC3_SS2,Onthophagus breviconus,0
BC,BC3_SS2,Onthophagus cyanellus,30
BC,BC3_SS2,Onthophagus longimanus,0
BC,BC3_SS2,Onthophagus petenensis,0
BC,BC3_SS2,Onthophagus rhinolophus,0
BC,BC3_SS2,Onthophagus sp.nov. aff. subcancer,0
BC,BC3_SS2,Phanaeus endymion,0
BC,BC3_SS3,Copris laeviceps,0
BC,BC3_SS3,Copris lugubris,0
BC,BC3_SS3,Copris nubilosus,2
BC,BC3_SS3,Copris sp.nov.,0
BC,BC3_SS3,Dichotomius annae,0
BC,BC3_SS3,Dichotomius satanas,1
BC,BC3_SS3,Eurysternus foedus,0
BC,BC3_SS3,Eurysternus magnus,8
BC,BC3_SS3,Eurysternus mexicanus,0
BC,BC3_SS3,Eurysternus obliteratus,0
BC,BC3_SS3,Onthophagus aff. anthracinus,1
BC,BC3_SS3,Onthophagus aff. belhorinus,0
BC,BC3_SS3,Onthophagus breviconus,0
BC,BC3_SS3,Onthophagus cyanellus,60
BC,BC3_SS3,Onthophagus longimanus,0
BC,BC3_SS3,Onthophagus petenensis,0
BC,BC3_SS3,Onthophagus rhinolophus,0
BC,BC3_SS3,Onthophagus sp.nov. aff. subcancer,0
BC,BC3_SS3,Phanaeus endymion,0
